"","Date","Year","Month","DOY","Variable","Value"
"194",1987-04-19,1987,4,109,"SuspendedSedimentConcentration_mg.L",1350
"195",1987-05-05,1987,5,125,"Discharge_cfs",8120
"196",1987-05-05,1987,5,125,"SuspendedSedimentConcentration_mg.L",159
"197",1987-06-30,1987,6,181,"Discharge_cfs",2680
"198",1987-06-30,1987,6,181,"SuspendedSedimentConcentration_mg.L",1430
"199",1987-08-23,1987,8,235,"Discharge_cfs",1540
"200",1987-08-23,1987,8,235,"SuspendedSedimentConcentration_mg.L",1300
"201",1987-09-01,1987,9,244,"Discharge_cfs",1570
"202",1987-09-01,1987,9,244,"SuspendedSedimentConcentration_mg.L",251
"203",1987-11-17,1987,11,321,"Discharge_cfs",1210
"204",1987-11-17,1987,11,321,"SuspendedSedimentConcentration_mg.L",76
"205",1987-11-28,1987,11,332,"Discharge_cfs",781
"206",1987-11-28,1987,11,332,"SuspendedSedimentConcentration_mg.L",2750
"207",1988-01-11,1988,1,11,"Discharge_cfs",716
"208",1988-01-11,1988,1,11,"SuspendedSedimentConcentration_mg.L",40
"209",1988-02-17,1988,2,48,"Discharge_cfs",768
"210",1988-02-17,1988,2,48,"SuspendedSedimentConcentration_mg.L",31
"211",1988-04-08,1988,4,99,"Discharge_cfs",1700
"212",1988-04-08,1988,4,99,"SuspendedSedimentConcentration_mg.L",188
"213",1988-05-12,1988,5,133,"Discharge_cfs",1570
"214",1988-05-12,1988,5,133,"SuspendedSedimentConcentration_mg.L",90
"215",1988-06-12,1988,6,164,"Discharge_cfs",1160
"216",1988-06-12,1988,6,164,"SuspendedSedimentConcentration_mg.L",666
"217",1988-06-14,1988,6,166,"Discharge_cfs",1350
"218",1988-06-14,1988,6,166,"SuspendedSedimentConcentration_mg.L",226
"219",1988-07-09,1988,7,191,"Discharge_cfs",830
"220",1988-07-09,1988,7,191,"SuspendedSedimentConcentration_mg.L",4320
"221",1988-07-12,1988,7,194,"Discharge_cfs",550
"222",1988-07-12,1988,7,194,"SuspendedSedimentConcentration_mg.L",1720
"223",1988-08-08,1988,8,221,"Discharge_cfs",990
"224",1988-08-08,1988,8,221,"SuspendedSedimentConcentration_mg.L",1470
"225",1988-08-24,1988,8,237,"Discharge_cfs",1140
"226",1988-08-24,1988,8,237,"SuspendedSedimentConcentration_mg.L",13200
"227",1988-11-01,1988,11,306,"Discharge_cfs",523
"228",1988-11-01,1988,11,306,"SuspendedSedimentConcentration_mg.L",46
"229",1989-01-17,1989,1,17,"Discharge_cfs",717
"230",1989-01-17,1989,1,17,"SuspendedSedimentConcentration_mg.L",113
"231",1989-03-13,1989,3,72,"Discharge_cfs",1980
"232",1989-03-13,1989,3,72,"SuspendedSedimentConcentration_mg.L",1900
"233",1989-04-04,1989,4,94,"Discharge_cfs",2940
"234",1989-04-04,1989,4,94,"SuspendedSedimentConcentration_mg.L",120
"235",1989-04-13,1989,4,103,"Discharge_cfs",4010
"236",1989-04-13,1989,4,103,"SuspendedSedimentConcentration_mg.L",1940
"237",1989-07-06,1989,7,187,"Discharge_cfs",940
"238",1989-07-06,1989,7,187,"SuspendedSedimentConcentration_mg.L",93
"239",1989-07-18,1989,7,199,"Discharge_cfs",921
"240",1989-07-18,1989,7,199,"SuspendedSedimentConcentration_mg.L",3840
"241",1989-07-23,1989,7,204,"Discharge_cfs",1590
"242",1989-07-23,1989,7,204,"SuspendedSedimentConcentration_mg.L",7530
"243",1989-08-14,1989,8,226,"Discharge_cfs",992
"244",1989-08-14,1989,8,226,"SuspendedSedimentConcentration_mg.L",3090
"245",1989-09-01,1989,9,244,"Discharge_cfs",838
"246",1989-09-01,1989,9,244,"SuspendedSedimentConcentration_mg.L",863
"247",1989-10-31,1989,10,304,"Discharge_cfs",525
"248",1989-10-31,1989,10,304,"SuspendedSedimentConcentration_mg.L",105
"249",1990-01-23,1990,1,23,"Discharge_cfs",590
"250",1990-01-23,1990,1,23,"SuspendedSedimentConcentration_mg.L",1200
"251",1990-03-14,1990,3,73,"Discharge_cfs",851
"252",1990-03-14,1990,3,73,"SuspendedSedimentConcentration_mg.L",281
"253",1990-05-30,1990,5,150,"Discharge_cfs",1670
"254",1990-05-30,1990,5,150,"SuspendedSedimentConcentration_mg.L",1150
"255",1990-07-19,1990,7,200,"Discharge_cfs",1000
"256",1990-07-19,1990,7,200,"SuspendedSedimentConcentration_mg.L",1980
"257",1990-08-22,1990,8,234,"Discharge_cfs",767
"258",1990-08-22,1990,8,234,"SuspendedSedimentConcentration_mg.L",500
"259",1990-11-29,1990,11,333,"Discharge_cfs",916
"260",1990-11-29,1990,11,333,"SuspendedSedimentConcentration_mg.L",627
"261",1991-01-30,1991,1,30,"Discharge_cfs",769
"262",1991-01-30,1991,1,30,"SuspendedSedimentConcentration_mg.L",408
"263",1991-03-21,1991,3,80,"Discharge_cfs",1780
"264",1991-03-21,1991,3,80,"SuspendedSedimentConcentration_mg.L",725
"265",1991-05-29,1991,5,149,"Discharge_cfs",5080
"266",1991-05-29,1991,5,149,"SuspendedSedimentConcentration_mg.L",836
"267",1991-07-25,1991,7,206,"Discharge_cfs",2090
"268",1991-07-25,1991,7,206,"SuspendedSedimentConcentration_mg.L",6250
"269",1991-08-27,1991,8,239,"Discharge_cfs",865
"270",1991-08-27,1991,8,239,"SuspendedSedimentConcentration_mg.L",3760
"271",1991-11-19,1991,11,323,"Discharge_cfs",1410
"272",1991-11-19,1991,11,323,"SuspendedSedimentConcentration_mg.L",1620
"273",1992-01-30,1992,1,30,"Discharge_cfs",906
"274",1992-01-30,1992,1,30,"SuspendedSedimentConcentration_mg.L",70
"275",1992-06-04,1992,6,156,"Discharge_cfs",3600
"276",1992-06-04,1992,6,156,"SuspendedSedimentConcentration_mg.L",291
"277",1992-08-03,1992,8,216,"Discharge_cfs",889
"278",1992-08-03,1992,8,216,"SuspendedSedimentConcentration_mg.L",1390
"279",1992-08-25,1992,8,238,"Discharge_cfs",1160
"280",1992-08-25,1992,8,238,"SuspendedSedimentConcentration_mg.L",1110
"281",1992-09-01,1992,9,245,"Discharge_cfs",1060
"282",1992-09-01,1992,9,245,"SuspendedSedimentConcentration_mg.L",227
"283",1992-11-24,1992,11,329,"Discharge_cfs",673
"284",1992-11-24,1992,11,329,"SuspendedSedimentConcentration_mg.L",14
"285",1993-03-17,1993,3,76,"Discharge_cfs",1260
"286",1993-03-17,1993,3,76,"SuspendedSedimentConcentration_mg.L",91
"287",1993-04-20,1993,4,110,"Discharge_cfs",3100
"288",1993-04-20,1993,4,110,"SuspendedSedimentConcentration_mg.L",45
"289",1993-05-26,1993,5,146,"Discharge_cfs",6770
"290",1993-05-26,1993,5,146,"SuspendedSedimentConcentration_mg.L",83
"291",1993-06-23,1993,6,174,"Discharge_cfs",4290
"292",1993-06-23,1993,6,174,"SuspendedSedimentConcentration_mg.L",189
"293",1993-07-27,1993,7,208,"Discharge_cfs",876
"294",1993-07-27,1993,7,208,"SuspendedSedimentConcentration_mg.L",96
"295",1993-08-24,1993,8,236,"Discharge_cfs",1360
"296",1993-08-24,1993,8,236,"SuspendedSedimentConcentration_mg.L",385
"297",1993-09-21,1993,9,264,"Discharge_cfs",1100
"298",1993-09-21,1993,9,264,"SuspendedSedimentConcentration_mg.L",82
"299",1993-10-19,1993,10,292,"Discharge_cfs",800
"300",1993-10-19,1993,10,292,"SuspendedSedimentConcentration_mg.L",141
"301",1993-11-18,1993,11,322,"Discharge_cfs",1260
"302",1993-11-18,1993,11,322,"SuspendedSedimentConcentration_mg.L",120
"303",1993-12-14,1993,12,348,"Discharge_cfs",1410
"304",1993-12-14,1993,12,348,"SuspendedSedimentConcentration_mg.L",143
"305",1994-01-13,1994,1,13,"Discharge_cfs",851
"306",1994-01-13,1994,1,13,"SuspendedSedimentConcentration_mg.L",72
"307",1994-02-23,1994,2,54,"Discharge_cfs",900
"308",1994-02-23,1994,2,54,"SuspendedSedimentConcentration_mg.L",73
"309",1994-03-22,1994,3,81,"Discharge_cfs",1950
"310",1994-03-22,1994,3,81,"SuspendedSedimentConcentration_mg.L",417
"311",1994-04-21,1994,4,111,"Discharge_cfs",4280
"312",1994-04-21,1994,4,111,"SuspendedSedimentConcentration_mg.L",893
"313",1994-05-23,1994,5,143,"Discharge_cfs",7380
"314",1994-05-23,1994,5,143,"SuspendedSedimentConcentration_mg.L",524
"315",1994-06-08,1994,6,159,"Discharge_cfs",5080
"316",1994-06-08,1994,6,159,"SuspendedSedimentConcentration_mg.L",381
"317",1994-07-19,1994,7,200,"Discharge_cfs",1480
"318",1994-07-19,1994,7,200,"SuspendedSedimentConcentration_mg.L",118
"319",1994-08-09,1994,8,221,"Discharge_cfs",750
"320",1994-08-09,1994,8,221,"SuspendedSedimentConcentration_mg.L",150
"321",1994-09-07,1994,9,250,"Discharge_cfs",784
"322",1994-09-07,1994,9,250,"SuspendedSedimentConcentration_mg.L",702
"323",1994-10-06,1994,10,279,"Discharge_cfs",983
"324",1994-10-06,1994,10,279,"SuspendedSedimentConcentration_mg.L",332
"325",1994-11-14,1994,11,318,"Discharge_cfs",935
"326",1994-11-14,1994,11,318,"SuspendedSedimentConcentration_mg.L",921
"327",1994-12-06,1994,12,340,"Discharge_cfs",1010
"328",1994-12-06,1994,12,340,"SuspendedSedimentConcentration_mg.L",458
"329",1995-01-24,1995,1,24,"Discharge_cfs",965
"330",1995-01-24,1995,1,24,"SuspendedSedimentConcentration_mg.L",388
"331",1995-02-15,1995,2,46,"Discharge_cfs",1250
"332",1995-02-15,1995,2,46,"SuspendedSedimentConcentration_mg.L",342
"333",1995-03-16,1995,3,75,"Discharge_cfs",1380
"334",1995-03-16,1995,3,75,"SuspendedSedimentConcentration_mg.L",548
"335",1995-04-18,1995,4,108,"Discharge_cfs",2830
"336",1995-04-18,1995,4,108,"SuspendedSedimentConcentration_mg.L",1170
"337",1995-05-16,1995,5,136,"Discharge_cfs",4360
"338",1995-05-16,1995,5,136,"SuspendedSedimentConcentration_mg.L",969
"339",1995-06-21,1995,6,172,"Discharge_cfs",7910
"340",1995-06-21,1995,6,172,"SuspendedSedimentConcentration_mg.L",370
"341",1995-07-26,1995,7,207,"Discharge_cfs",1780
"342",1995-07-26,1995,7,207,"SuspendedSedimentConcentration_mg.L",74
"343",1995-08-22,1995,8,234,"Discharge_cfs",1080
"344",1995-08-22,1995,8,234,"SuspendedSedimentConcentration_mg.L",40
"345",1995-11-27,1995,11,331,"Discharge_cfs",1030
"346",1995-11-27,1995,11,331,"SuspendedSedimentConcentration_mg.L",41
"347",1996-01-29,1996,1,29,"Discharge_cfs",1190
"348",1996-01-29,1996,1,29,"SuspendedSedimentConcentration_mg.L",38
"349",1996-04-10,1996,4,101,"Discharge_cfs",797
"350",1996-04-10,1996,4,101,"SuspendedSedimentConcentration_mg.L",77
"351",1996-07-17,1996,7,199,"Discharge_cfs",661
"352",1996-07-17,1996,7,199,"SuspendedSedimentConcentration_mg.L",3100
"353",1996-08-28,1996,8,241,"Discharge_cfs",330
"354",1996-08-28,1996,8,241,"SuspendedSedimentConcentration_mg.L",502
"355",1996-11-06,1996,11,311,"Discharge_cfs",614
"356",1996-11-06,1996,11,311,"SuspendedSedimentConcentration_mg.L",125
"357",1997-02-20,1997,2,51,"Discharge_cfs",955
"358",1997-02-20,1997,2,51,"SuspendedSedimentConcentration_mg.L",183
"359",1997-08-20,1997,8,232,"Discharge_cfs",1010
"360",1997-08-20,1997,8,232,"SuspendedSedimentConcentration_mg.L",568
"361",1997-11-05,1997,11,309,"Discharge_cfs",1520
"362",1997-11-05,1997,11,309,"SuspendedSedimentConcentration_mg.L",201
"363",1997-12-16,1997,12,350,"Discharge_cfs",972
"364",1997-12-16,1997,12,350,"SuspendedSedimentConcentration_mg.L",138
"365",1998-03-03,1998,3,62,"Discharge_cfs",947
"366",1998-03-03,1998,3,62,"SuspendedSedimentConcentration_mg.L",38
"367",1998-05-12,1998,5,132,"Discharge_cfs",3420
"368",1998-05-12,1998,5,132,"SuspendedSedimentConcentration_mg.L",580
"369",1998-05-27,1998,5,147,"Discharge_cfs",3590
"370",1998-05-27,1998,5,147,"SuspendedSedimentConcentration_mg.L",492
"371",1998-06-02,1998,6,153,"Discharge_cfs",3670
"372",1998-06-02,1998,6,153,"SuspendedSedimentConcentration_mg.L",293
"373",1998-08-25,1998,8,237,"Discharge_cfs",1260
"374",1998-08-25,1998,8,237,"SuspendedSedimentConcentration_mg.L",415
"375",1998-10-21,1998,10,294,"Discharge_cfs",884
"376",1998-10-21,1998,10,294,"SuspendedSedimentConcentration_mg.L",608
